query,metodo,patron,total_postings,tiempo_seg
asian countries,sin_skip,t1 AND t2,620,0.000111020
asian countries,con_skip,t1 AND t2,620,0.000185173
church signs,sin_skip,t1 AND t2,313,0.000056278
church signs,con_skip,t1 AND t2,313,0.000154311
fringe quilts,sin_skip,t1 AND t2,13,0.000007680
fringe quilts,con_skip,t1 AND t2,13,0.000010962
falafel sandwiches,sin_skip,t1 AND t2,3,0.000005655
falafel sandwiches,con_skip,t1 AND t2,3,0.000006494
virtual model,sin_skip,t1 AND t2,222,0.000049017
virtual model,con_skip,t1 AND t2,222,0.000070662
brad pitt,sin_skip,t1 AND t2,15,0.000008728
brad pitt,con_skip,t1 AND t2,15,0.000012289
az jobs,sin_skip,t1 AND t2,78,0.000020040
az jobs,con_skip,t1 AND t2,78,0.000035261
thyroid disease,sin_skip,t1 AND t2,94,0.000016618
thyroid disease,con_skip,t1 AND t2,94,0.000025695
geo bat,sin_skip,t1 AND t2,493,0.000074991
geo bat,con_skip,t1 AND t2,493,0.000083439
netherlands news,sin_skip,t1 AND t2,496,0.000076178
netherlands news,con_skip,t1 AND t2,496,0.000140975
pogo games,sin_skip,t1 AND t2,303,0.000030513
pogo games,con_skip,t1 AND t2,303,0.000015361
orphan foals,sin_skip,t1 AND t2,105,0.000005726
orphan foals,con_skip,t1 AND t2,105,0.000006634
british airways,sin_skip,t1 AND t2,472,0.000083020
british airways,con_skip,t1 AND t2,472,0.000041406
brad pitt,sin_skip,t1 AND t2,15,0.000007960
brad pitt,con_skip,t1 AND t2,15,0.000011521
blond jokes,sin_skip,t1 AND t2,21,0.000008728
blond jokes,con_skip,t1 AND t2,21,0.000011800
garmin avionics,sin_skip,t1 AND t2,6,0.000004748
garmin avionics,con_skip,t1 AND t2,6,0.000005725
midlothian texas,sin_skip,t1 AND t2,175,0.000025695
midlothian texas,con_skip,t1 AND t2,175,0.000021785
graduation ideas,sin_skip,t1 AND t2,125,0.000025276
graduation ideas,con_skip,t1 AND t2,125,0.000040009
softball junk,sin_skip,t1 AND t2,26,0.000008169
softball junk,con_skip,t1 AND t2,26,0.000013127
birth certificate,sin_skip,t1 AND t2,484,0.000073315
birth certificate,con_skip,t1 AND t2,484,0.000061026
scrabble players,sin_skip,t1 AND t2,377,0.000092726
scrabble players,con_skip,t1 AND t2,377,0.000020598
mortgage calculators,sin_skip,t1 AND t2,9,0.000007192
mortgage calculators,con_skip,t1 AND t2,9,0.000008728
bernardo shoes,sin_skip,t1 AND t2,12,0.000006634
bernardo shoes,con_skip,t1 AND t2,12,0.000008658
