query,patron,total_postings,tiempo_seg,tiempo_seg_str
yahoo games,t1 AND t2,329,"0,000352339",0.000352339
digital concepts,t1 AND t2,237,"0,000342980",0.000342980
beyonce knowles,t1 AND t2,3,"0,000222298",0.000222298
honda generators,t1 AND t2,22,"0,000216571",0.000216571
caracas pantyhose,t1 AND t2,5,"0,000197156",0.000197156
diesel watches,t1 AND t2,47,"0,000203790",0.000203790
alan howell,t1 AND t2,46,"0,000255471",0.000255471
redhead teens,t1 AND t2,20,"0,000247230",0.000247230
free resumes,t1 AND t2,6046,"0,002231080",0.002231080
benign vertigo,t1 AND t2,11,"0,000311622",0.000311622
yard art,t1 AND t2,326,"0,000300308",0.000300308
news journal,t1 AND t2,485,"0,000343399",0.000343399
direct tv,t1 AND t2,489,"0,000343119",0.000343119
barry university,t1 AND t2,600,"0,000421619",0.000421619
exchange rate,t1 AND t2,198,"0,000293604",0.000293604
playboy magazines,t1 AND t2,72,"0,000317209",0.000317209
car shipping,t1 AND t2,249,"0,000361487",0.000361487
unique accents,t1 AND t2,155,"0,000277890",0.000277890
song lyrics,t1 AND t2,448,"0,000336695",0.000336695
storage cabinets,t1 AND t2,46,"0,000253306",0.000253306
starwars websites,t1 AND t2,33,"0,000199111",0.000199111
sean price,t1 AND t2,111,"0,000231168",0.000231168
america west,t1 AND t2,667,"0,000408139",0.000408139
verizon wireless,t1 AND t2,24,"0,000211891",0.000211891
gallo lighting,t1 AND t2,35,"0,000237034",0.000237034
collective soul,t1 AND t2,88,"0,000250374",0.000250374
floor grinder,t1 AND t2,98,"0,000256729",0.000256729
sean paul,t1 AND t2,195,"0,000243529",0.000243529
wells fargo,t1 AND t2,38,"0,000208121",0.000208121
apollo theater,t1 AND t2,89,"0,000269020",0.000269020
verizon communications,t1 AND t2,66,"0,000612909",0.000612909
contemporary furniture,t1 AND t2,148,"0,000271116",0.000271116
mini trucks,t1 AND t2,38,"0,000246672",0.000246672
halloween tubes,t1 AND t2,31,"0,000245345",0.000245345
kerry penner,t1 AND t2,11,"0,000270347",0.000270347
driving directions,t1 AND t2,98,"0,000297794",0.000297794
frio river,t1 AND t2,237,"0,000330409",0.000330409
texas lottery,t1 AND t2,176,"0,000320073",0.000320073
womens advice,t1 AND t2,61,"0,000366795",0.000366795
pittsboro nc,t1 AND t2,28,"0,000250932",0.000250932
frontier airlines,t1 AND t2,67,"0,000260570",0.000260570
original man,t1 AND t2,978,"0,000492715",0.000492715
atlanta zoo,t1 AND t2,75,"0,000336276",0.000336276
aol services,t1 AND t2,257,"0,000357227",0.000357227
maui news,t1 AND t2,350,"0,000366865",0.000366865
cheat codes,t1 AND t2,176,"0,000292696",0.000292696
sun tattoo,t1 AND t2,93,"0,000275725",0.000275725
northern constellations,t1 AND t2,216,"0,000336694",0.000336694
mendoza roofing,t1 AND t2,5,"0,000208610",0.000208610
heb stores,t1 AND t2,63,"0,000255681",0.000255681
olympic airlines,t1 AND t2,149,"0,000307152",0.000307152
car rentals,t1 AND t2,227,"0,000259034",0.000259034
canadian consulate,t1 AND t2,237,"0,000260220",0.000260220
daddy yankee,t1 AND t2,13,"0,000203162",0.000203162
education law,t1 AND t2,697,"0,000426787",0.000426787
woodworking center,t1 AND t2,2999,"0,001700163",0.001700163
dragon bird,t1 AND t2,126,"0,000612908",0.000612908
bargain network,t1 AND t2,191,"0,000288645",0.000288645
stay movie,t1 AND t2,316,"0,000366236",0.000366236
archbishop metropolitan,t1 AND t2,136,"0,000354224",0.000354224
game cheats,t1 AND t2,369,"0,000403461",0.000403461
american express,t1 AND t2,863,"0,000621079",0.000621079
rose picture,t1 AND t2,217,"0,000390959",0.000390959
black jokes,t1 AND t2,404,"0,000406394",0.000406394
nothin fancy,t1 AND t2,15,"0,000265807",0.000265807
imax seattle,t1 AND t2,45,"0,000262595",0.000262595
pc richards,t1 AND t2,74,"0,000253586",0.000253586
augustine winery,t1 AND t2,11,"0,000290461",0.000290461
utility bills,t1 AND t2,55,"0,000373709",0.000373709
print shop,t1 AND t2,6115,"0,004709531",0.004709531
teen poetry,t1 AND t2,98,"0,000302823",0.000302823
jesse mccartney,t1 AND t2,13,"0,000205258",0.000205258
catholic churches,t1 AND t2,181,"0,000308759",0.000308759
log prices,t1 AND t2,56,"0,000254982",0.000254982
scary picture,t1 AND t2,139,"0,000259033",0.000259033
freestyle lyrics,t1 AND t2,95,"0,000273840",0.000273840
intermediate accounting,t1 AND t2,52,"0,000206375",0.000206375
john cena,t1 AND t2,378,"0,000330339",0.000330339
friends mom,t1 AND t2,183,"0,000345285",0.000345285
unleashed movie,t1 AND t2,225,"0,000270138",0.000270138
1953 studebaker,t1 AND t2,198,"0,000262107",0.000262107
progesterone cream,t1 AND t2,26,"0,000207702",0.000207702
joel shapiro,t1 AND t2,16,"0,000223764",0.000223764
costume jewelry,t1 AND t2,26,"0,000217828",0.000217828
edwin starr,t1 AND t2,29,"0,000193733",0.000193733
driving directions,t1 AND t2,98,"0,000250373",0.000250373
micro loans,t1 AND t2,23,"0,000236964",0.000236964
impressive recipes,t1 AND t2,47,"0,000209517",0.000209517
free rpgs,t1 AND t2,6046,"0,001965482",0.001965482
tibial torsion,t1 AND t2,5,"0,000732822",0.000732822
texas lottery,t1 AND t2,176,"0,000344656",0.000344656
insect sting,t1 AND t2,41,"0,000216711",0.000216711
truck comparisons,t1 AND t2,55,"0,000176553",0.000176553
california lottery,t1 AND t2,328,"0,000279846",0.000279846
florida land,t1 AND t2,541,"0,000415124",0.000415124
beach umbrella,t1 AND t2,71,"0,000261548",0.000261548
sai weapons,t1 AND t2,106,"0,000216990",0.000216990
disney channel,t1 AND t2,147,"0,000225930",0.000225930
detention center,t1 AND t2,3011,"0,001103807",0.001103807
heroin pictures,t1 AND t2,96,"0,000296188",0.000296188
harry potter,t1 AND t2,55,"0,000253795",0.000253795
atlanta school,t1 AND t2,569,"0,000290182",0.000290182
kids swimming,t1 AND t2,93,"0,000196597",0.000196597
brad pitt,t1 AND t2,15,"0,000251421",0.000251421
ischemic bowel,t1 AND t2,5,"0,000856088",0.000856088
stress relief,t1 AND t2,82,"0,000213777",0.000213777
emile hirsch,t1 AND t2,7,"0,000195340",0.000195340
kirsten storms,t1 AND t2,16,"0,000239618",0.000239618
budweiser sign,t1 AND t2,145,"0,000275097",0.000275097
ovarian cyst,t1 AND t2,7,"0,000224183",0.000224183
wrestling art,t1 AND t2,325,"0,000280963",0.000280963
seattle times,t1 AND t2,468,"0,000314416",0.000314416
american english,t1 AND t2,1507,"0,000782268",0.000782268
zip codes,t1 AND t2,236,"0,000311064",0.000311064
tank game,t1 AND t2,403,"0,000354713",0.000354713
boris vallejo,t1 AND t2,12,"0,000174668",0.000174668
car warranties,t1 AND t2,222,"0,000303381",0.000303381
decor catalogs,t1 AND t2,7,"0,000174947",0.000174947
united airlines,t1 AND t2,217,"0,000247580",0.000247580
downtown cleveland,t1 AND t2,128,"0,000231167",0.000231167
richards realm,t1 AND t2,51,"0,000229073",0.000229073
chinese wallpaper,t1 AND t2,150,"0,000273420",0.000273420
papa johns,t1 AND t2,30,"0,000209168",0.000209168
pacific theatres,t1 AND t2,92,"0,000219504",0.000219504
intercourse cm,t1 AND t2,107,"0,000237663",0.000237663
abc distributing,t1 AND t2,70,"0,000245135",0.000245135
villa nova,t1 AND t2,43,"0,000197086",0.000197086
hiphop adds,t1 AND t2,27,"0,000192337",0.000192337
nh aldermen,t1 AND t2,16,"0,000227536",0.000227536
undercooked chicken,t1 AND t2,24,"0,000203721",0.000203721
zoey 101,t1 AND t2,100,"0,000724581",0.000724581
turkish companies,t1 AND t2,307,"0,000414844",0.000414844
jetix tv,t1 AND t2,347,"0,000420152",0.000420152
overseas jobs,t1 AND t2,80,"0,000236406",0.000236406
pittsburgh pa,t1 AND t2,103,"0,000275725",0.000275725
mcfarlane art,t1 AND t2,290,"0,000323145",0.000323145
spring break,t1 AND t2,270,"0,000256170",0.000256170
solkar wow,t1 AND t2,10,"0,000231098",0.000231098
breathable waders,t1 AND t2,4,"0,000635048",0.000635048
environmental law,t1 AND t2,414,"0,000994300",0.000994300
princeton properties,t1 AND t2,118,"0,000702791",0.000702791
texas vacation,t1 AND t2,180,"0,000280264",0.000280264
adrenal gland,t1 AND t2,10,"0,000200298",0.000200298
dell computers,t1 AND t2,64,"0,000199531",0.000199531
george strait,t1 AND t2,202,"0,000301705",0.000301705
horse jobs,t1 AND t2,98,"0,000258754",0.000258754
verizon dsl,t1 AND t2,2,"0,000188286",0.000188286
rap cds,t1 AND t2,34,"0,000197086",0.000197086
hsn coupons,t1 AND t2,6,"0,000261617",0.000261617
farmers bank,t1 AND t2,124,"0,000335228",0.000335228
carpal tunnel,t1 AND t2,29,"0,000170966",0.000170966
map quest,t1 AND t2,466,"0,000333063",0.000333063
brandon henschel,t1 AND t2,11,"0,000200019",0.000200019
1961 thunderbird,t1 AND t2,233,"0,000574218",0.000574218
stl cardinals,t1 AND t2,17,"0,000233891",0.000233891
stuffing envelopes,t1 AND t2,7,"0,000497324",0.000497324
teenage father,t1 AND t2,315,"0,000379925",0.000379925
booster seats,t1 AND t2,90,"0,000304149",0.000304149
egg donors,t1 AND t2,31,"0,000647409",0.000647409
dogs labs,t1 AND t2,45,"0,000239548",0.000239548
rick jason,t1 AND t2,27,"0,000199181",0.000199181
anorexia celebrities,t1 AND t2,18,"0,000208959",0.000208959
epcot center,t1 AND t2,2996,"0,001233010",0.001233010
red sox,t1 AND t2,283,"0,000337253",0.000337253
online dictionary,t1 AND t2,320,"0,000336136",0.000336136
pat todd,t1 AND t2,25,"0,000326917",0.000326917
green day,t1 AND t2,658,"0,000578687",0.000578687
vision quest,t1 AND t2,106,"0,000297375",0.000297375
bbq grill,t1 AND t2,6,"0,000209099",0.000209099
madison mississippi,t1 AND t2,97,"0,000248139",0.000248139
crate barrel,t1 AND t2,21,"0,000234171",0.000234171
atreyu lyrics,t1 AND t2,79,"0,000306733",0.000306733
womens pleasures,t1 AND t2,12,"0,000197017",0.000197017
data source,t1 AND t2,1250,"0,000718296",0.000718296
sams club,t1 AND t2,293,"0,000346333",0.000346333
marcus theater,t1 AND t2,76,"0,000223276",0.000223276
tom robinson,t1 AND t2,125,"0,000215524",0.000215524
